PanStarrs_name,dr7objid,ra_panstarr,dec_panstarr,ra_sdss,dec_sdss,spherical_cos_distance
PGC03512 ,588015509812674591,0.25662588283038784,0.010249620565261899,0.2566260951756828,0.010249326613385058,0.9999999999999344
UGC4936 ,587737810650923091,2.444945180787957,1.1188045706815706,2.4449435023308737,1.1188079252289778,0.9999999999941047
NGC7549 ,587727223556473127,6.0880887382002316,0.332340185644079,6.094791664929683,0.2743365159005026,0.9982978175237412
UGC8196 ,587733197844709467,3.4298939934158503,0.9713820192862909,3.4298949534850647,0.9713813831438313,0.9999999999996511
NGC3319 ,588017604139352106,2.7888513143191527,0.7275698202252698,2.7888514630830414,0.7275697862654421,0.9999999999999931
PGC06855 ,587724197746311361,0.48650476940688775,0.22919157591706457,0.48650476211982924,0.22919165772391037,0.9999999999999967
PGC32638 ,587734947522740233,2.8467756506001907,0.18408423953097192,2.846774568937937,0.18408480456713996,0.999999999999275
NGC2207 ,587727177940009179,1.6422115345950754,-0.3730234614422165,1.1050641967232455,-0.11354016508182058,0.83622371700258
PGC20938 ,587725774258897265,1.9407555136693868,0.5725372842254443,1.9543667059603116,0.5961191788399769,0.9996575301428602
NGC1012 ,588848899934388352,0.6948529252649353,0.5262410295528931,4.007879904552684,-17357.919293075716,0.9853016394326136
NGC4731 ,587725039023817357,3.3642013711671104,-0.11157994627754869,3.3682961746123357,-0.06447491918373147,0.9988824490896258
NGC7716 ,587731186738200620,6.18075263151174,0.0051885148003287425,6.180752679939408,0.005188291755441849,0.9999999999999738
UGC11262 ,587730843680440946,4.845886945941708,0.7451290542308091,4.727902611726629,0.8158811790750832,0.9939967520220727
UGC3973 ,587738067802783880,2.018240453009226,0.8693423917659935,2.020274617314703,0.8697908991897495,0.9999990382807769
NGC4736 ,588017947207139390,3.3636175585323187,0.7176874169346275,3.3634055800042106,0.7189326555479605,0.9999992119540024
UGC12274 ,587727223554834642,6.014083112724242,0.45486666245721097,6.026578715191603,0.269070223243032,0.982721829148605
NGC4151 ,587738946683011119,3.1875949948163087,0.687759732651905,3.187594246799153,0.6877622989506037,0.9999999999965401
PGC58410 ,587729652884963589,4.324335267023074,0.7183084050824871,4.3243352458403965,0.7183085049071382,0.9999999999999949
NGC6004 ,587739720308424791,4.146809451222321,0.3305527939571117,4.146809289208329,0.33055273738265145,0.9999999999999866
NGC23 ,587727223561978075,0.043153963887260595,0.4524553155626556,0.04021918422489146,0.2832201624062244,0.9857101583760847
NGC1645 ,587727177940009179,1.2396480264970045,-0.09539271559700208,1.1050641967232455,-0.11354016508182058,0.9908916690390935
UGC12816 ,587731187813711982,6.247598741863123,0.0538036139170796,6.249686733088579,0.02198868926456384,0.9994917717995816
IC776 ,587732769982775318,3.2247066288331645,0.154568278418795,3.2247287296270057,0.15456771710081116,0.9999999997614084
NGC4102 ,587732135922303046,3.169444617793119,0.9199818982821327,3.169445408110405,0.91998122452115,0.9999999999996584
UGC5 ,588015507659096156,0.013501518027577736,-0.03340228575759268,0.014780608690855046,-0.02160809488712822,0.9999296319479003
UGC7917 ,587738951489486893,3.335483898187721,0.6478875113571695,3.3354836501755796,0.6478873175669515,0.9999999999999618
NGC7321 ,587727223552606486,5.918703836162481,0.37737177474063516,5.935678004066243,0.26036916074236094,0.9930335916809119
NGC5218 ,587728676861051075,3.5437732364499763,1.0955039015686707,3.5437706578624915,1.095503831713873,0.9999999999993013
UGC10310 ,588007004192702550,4.2599375045463885,0.8211147557431855,4.259905222425058,0.8210957912266691,0.9999999995782298
NGC768 ,588015509819228215,0.5178489629105287,0.009236631467404392,0.5178492220856918,0.009236694446814403,0.9999999999999643
UGC463 ,587724232101199896,0.18997874001373238,0.2503248951648379,0.1899783775324907,0.2503249209020408,0.999999999999938
NGC6032 ,587739380460486809,4.201962030118267,0.3657501508503805,4.201962059811972,0.36575001756328734,0.9999999999999909
NGC428 ,588015510351052863,0.31821052361870855,0.01713145380587554,0.3182148988213645,0.017130470885462178,0.9999999999899484
NGC5964 ,588017990702858481,4.091067649170902,0.10426614404706644,4.091823050249931,0.1034898270584587,0.9999994164183197
NGC3631 ,587731868020834516,2.9716321419647347,0.9279840583696014,2.9691678331442963,0.9265686578147737,0.9999979051606667
NGC2525 ,588848899350659842,2.1189780649075356,-0.19943929722416764,2.139324194433565,-0.00951612505556047,0.9818158783740344
UGC3691 ,587735237145591984,1.867595325683064,0.2649134042505577,1.9647052582817746,0.30254800997491216,0.9949513229976639
